episode_id,title,category
1,Episode 1,Religion
2,Episode 2,Technology
3,Episode 3,Society
4,Episode 4,News
5,Episode 5,Politics
6,Episode 6,Society
7,Episode 7,Religion
8,Episode 8,Sports
9,Episode 9,Sports
10,Episode 10,News
11,Episode 11,Sports
12,Episode 12,Sports
13,Episode 13,Society
14,Episode 14,Society
15,Episode 15,News
16,Episode 16,Politics
17,Episode 17,Sports
18,Episode 18,News
19,Episode 19,Politics
20,Episode 20,Society
21,Episode 21,Society
22,Episode 22,Society
23,Episode 23,Sports
24,Episode 24,Society
25,Episode 25,Sports
26,Episode 26,Technology
27,Episode 27,News
28,Episode 28,News
29,Episode 29,Sports
30,Episode 30,Sports
